market_segment,bookings,revenue,average_adr,cancellation_rate
Online TA,51618,22266588.88,118.1716062226355,35.34619706304002
Offline TA/TO,13889,5416727.59,81.76419108647131,14.853481172150623
Direct,11804,4856818.92,116.57942900711623,14.715350728566587
Groups,4942,1238483.96,74.86428369081344,27.013354917037635
Corporate,4212,594164.08,68.15124643874644,12.108262108262108
Complementary,702,5074.52,3.0492450142450145,12.535612535612536
Aviation,227,83033.36,100.17039647577093,19.823788546255507
Undefined,2,48.0,15.0,100.0
